quarter,volume_of_mobile_data
2004-Q3,0.000384
2004-Q4,0.000543
2005-Q1,0.00062
2005-Q2,0.000634
2005-Q3,0.000718
2005-Q4,0.000801
2006-Q1,0.00089
2006-Q2,0.001189
2006-Q3,0.001735
2006-Q4,0.003323
2007-Q1,0.012635
2007-Q2,0.029992
2007-Q3,0.053584
2007-Q4,0.100934
2008-Q1,0.171586
2008-Q2,0.248899
2008-Q3,0.439655
2008-Q4,0.683579
2009-Q1,1.066517
2009-Q2,1.357248
2009-Q3,1.695704
2009-Q4,2.109516
2010-Q1,2.3363
2010-Q2,2.777817
2010-Q3,3.002091
2010-Q4,3.336984
2011-Q1,3.466228
2011-Q2,3.380723
2011-Q3,3.713792
2011-Q4,4.07796
2012-Q1,4.679465
2012-Q2,5.331562
2012-Q3,5.614201
2012-Q4,5.903005
2013-Q1,5.807872
2013-Q2,7.053642
2013-Q3,7.970536
2013-Q4,7.664802
2014-Q1,7.73018
2014-Q2,7.907798
2014-Q3,8.629095
2014-Q4,9.327967
2015-Q1,9.687363
2015-Q2,9.98677
2015-Q3,10.902194
2015-Q4,10.677166
2016-Q1,10.96733
2016-Q2,11.38734
2016-Q3,12.14232
2016-Q4,12.86429
2017-Q1,13.29757
2017-Q2,14.54179
2017-Q3,14.88463
2017-Q4,15.77653
2018-Q1,16.47121
2018-Q2,18.47368
2018-Q3,19.97554729
2018-Q4,20.43921113
2019-Q1,20.53504752
